id,name,source,page,rarity,type,attunement,damage,properties,mastery,weight,value,text
#0043,+3 Rod of the Pact Keeper,DMG'24,301,very rare,Rod,requires attunement by a warlock,,,,2,,"While holding this rod, you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells.In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest."
#0044,+3 Shield (*),DMG'24,303,very rare,Generic Variant,,,,,,,"* This generic variant has the same name and source as the item +3 Shield.While holding this Shield, you have a +3 bonus to Armor Class, in addition to the Shield's normal bonus to AC. Base items. This item variant can be applied to the following base items:Shield (+3 Shield)"
#0045,+3 Wand of the War Mage,DMG'24,322,very rare,Wand,requires attunement by a spellcaster,,,,1,,"While holding this wand, you gain a +3 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll."
#0046,+3 Weapon,DMG'24,324,very rare,Generic Variant,,,,,,,You have a +3 bonus to attack and damage rolls made with this magic weapon. Base items. This item variant can be applied to the following base items:Antimatter Rifle (+3 Antimatter Rifle)Automatic Rifle (+3 Automatic Rifle)Battleaxe (+3 Battleaxe)Blowgun (+3 Blowgun)Club (+3 Club)Dagger (+3 Dagger)Dart (+3 Dart)Double-Bladed Scimitar (+3 Double-Bladed Scimitar)Flail (+3 Flail)Glaive (+3 Glaive)Greataxe (+3 Greataxe)Greatclub (+3 Greatclub)Greatsword (+3 Greatsword)Halberd (+3 Halberd)Hand Crossbow (+3 Hand Crossbow)Handaxe (+3 Handaxe)Heavy Crossbow (+3 Heavy Crossbow)Hooked Shortspear (+3 Hooked Shortspear)Hoopak (+3 Hoopak)Hunting Rifle (+3 Hunting Rifle)Javelin (+3 Javelin)Lance (+3 Lance)Laser Pistol (+3 Laser Pistol)Laser Rifle (+3 Laser Rifle)Light Crossbow (+3 Light Crossbow)Light Hammer (+3 Light Hammer)Light Repeating Crossbow (+3 Light Repeating Crossbow)Longbow (+3 Longbow)Longsword (+3 Longsword)Mace (+3 Mace)Maul (+3 Maul)Morningstar (+3 Morningstar)Musket (+3 Musket)Pike (+3 Pike)Pistol (+3 Pistol)Quarterstaff (+3 Quarterstaff)Rapier (+3 Rapier)Revolver (+3 Revolver)Scimitar (+3 Scimitar)Semiautomatic Pistol (+3 Semiautomatic Pistol)Shortbow (+3 Shortbow)Shortsword (+3 Shortsword)Shotgun (+3 Shotgun)Sickle (+3 Sickle)Sling (+3 Sling)Spear (+3 Spear)Trident (+3 Trident)War Pick (+3 War Pick)Warhammer (+3 Warhammer)Whip (+3 Whip)Yklwa (+3 Yklwa)
#0047,+3 Weapon (no damage),DMG'14,213,very rare,Generic Variant,,,,,,,You have a +3 bonus to attack rolls made with this weapon.
#0048,+3 Wraps of Unarmed Power,DMG'24,325,very rare,Wondrous Item,,,,,,,"While wearing these wraps, you have a +3 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type."
#0049,Abacus,PHB'14,150,none,Adventuring Gear,,,,,2,2,
#0050,Aberrant Nail,TGS3,0,legendary,"Weapon (Longsword), Martial Weapon, Melee Weapon",requires attunement,1d8 Slashing,versatile (1d10),,3,,"This greenish blade was forged under the command of a powerful aboleth as a reward for one of its strongest mortal thralls. You gain a +2 bonus to attack and damage rolls made with this magic weapon.While attuned to this sword, your Intelligence score is 19. It has no effect on you if your Intelligence is already 19 or higher without it. When you hit with an attack using this weapon, the target takes an extra 1d8 psychic damage. While holding the sword, you have resistance to psychic damage.In addition, when you roll a 20 on an attack roll made with this sword, the target must succeed on a DC 17 Intelligence saving throw or be stunned until the start of your next turn, as it's bombarded by a deluge of unintelligible images and thoughts from a realm beyond comprehension. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
#0051,Abjurer's Bangle,TGS2,32,varies,"Wondrous Item, Generic Variant",,,,,,,"You can clasp or remove this metal bracelet around the wrist or ankle of yourself or a willing creature within your reach using an action. The bangle emits a ward of abjuration magic from it that has a number of hit points determined by its rarity. A creature wearing the bangle can use its reaction when it takes damage to speak the bangle's command word, causing the magical ward to take the damage instead. Any excess damage carries over to the creature when the bangle's ward is reduced to 0 hit points, at which point the bangle becomes a nonmagical bracelet.RarityWard Hit PointsUncommon30Rare75Very Rare120"
#0052,Abjurer's Bangle (Rare),TGS2,32,rare,Wondrous Item,,,,,,,"You can clasp or remove this metal bracelet around the wrist or ankle of yourself or a willing creature within your reach using an action. The bangle emits a ward of abjuration magic from it that has 75 hit points. A creature wearing the bangle can use its reaction when it takes damage to speak the bangle's command word, causing the magical ward to take the damage instead. Any excess damage carries over to the creature when the bangle's ward is reduced to 0 hit points, at which point the bangle becomes a nonmagical bracelet."
#0053,Abjurer's Bangle (Uncommon),TGS2,32,uncommon,Wondrous Item,,,,,,,"You can clasp or remove this metal bracelet around the wrist or ankle of yourself or a willing creature within your reach using an action. The bangle emits a ward of abjuration magic from it that has 30 hit points. A creature wearing the bangle can use its reaction when it takes damage to speak the bangle's command word, causing the magical ward to take the damage instead. Any excess damage carries over to the creature when the bangle's ward is reduced to 0 hit points, at which point the bangle becomes a nonmagical bracelet."
#0054,Abjurer's Bangle (Very Rare),TGS2,32,very rare,Wondrous Item,,,,,,,"You can clasp or remove this metal bracelet around the wrist or ankle of yourself or a willing creature within your reach using an action. The bangle emits a ward of abjuration magic from it that has 120 hit points. A creature wearing the bangle can use its reaction when it takes damage to speak the bangle's command word, causing the magical ward to take the damage instead. Any excess damage carries over to the creature when the bangle's ward is reduced to 0 hit points, at which point the bangle becomes a nonmagical bracelet."
#0055,Abjurer's Glider,TGS1,27,uncommon,Wondrous Item,requires attunement by a wizard,,,,,,"This golden badge is usually given to wizards who either excel at or who have mastered abjuration magic as a symbol of their accomplishments. While wearing this badge, you always have the shield spell prepared if you know it, and it doesn't count against the number of spells you can have prepared. In addition, whenever you cast the shield spell, you can take another reaction before the start of your next turn. This second reaction can't be used to cast the shield spell again."
